Utility_Name,State,Year,Utility_ID,Revenue_Thousands,Sales_MWh,Customers,Price_Per_kWh
3 Phases Renewables Inc,CA,2024,21093.0,24893.0,498663.0,622.0,0.0499194847020934
3000 Energy Corp,TX,2024,49952.0,3923.0,35073.0,1535.0,0.1118524220910672
4-County Electric Power Assn,MS,2024,6641.0,139105.0,1111574.0,51268.0,0.12514236569045337
A & N Electric Coop,VA,2024,84.0,84042.9,705648.0,37341.0,0.11910031630501326
"ABN Energy, LLC",NY,2024,65613.0,17547.6,76393.0,693.0,0.2297016742371683
AEP Energy,IL,2024,55722.0,324969.8,3400452.0,22316.0,0.0955666481985336
AEP Energy,MD,2024,55722.0,68424.4,864620.0,4252.0,0.07913811847979459
AEP Energy,NJ,2024,55722.0,59458.0,633107.0,2095.0,0.09391461474916563
AEP Energy,OH,2024,55722.0,906065.2,16522339.0,507763.0,0.054838797339771324
AEP Energy,PA,2024,55722.0,272236.9,3784287.0,97988.0,0.07193875623069815
AES Indiana,IN,2024,9273.0,1563636.9,12864634.0,530802.0,0.12154538558967165
"ALLETE, Inc.",MN,2024,12647.0,884002.2,8391265.0,152342.0,0.10534790642412079
AP Holdings LLC,IL,2024,56571.0,3835.7,50474.0,1038.0,0.07599358085350873
AP Holdings LLC,MD,2024,56571.0,6621.4,63579.0,1284.0,0.10414445021154783
AP Holdings LLC,NJ,2024,56571.0,10879.8,95007.0,1252.0,0.11451577252202469
AP Holdings LLC,OH,2024,56571.0,15018.1,223425.0,7271.0,0.06721763455298199
AP Holdings LLC,PA,2024,56571.0,42062.5,420649.0,20110.0,0.09999429453059439
AP Holdings LLC,TX,2024,56571.0,179124.5,2343895.0,87371.0,0.07642172537592341
"Abest Power & Gas, LLC",NY,2024,59053.0,3698.2,21430.0,4237.0,0.1725711619225385
"Accent Energy Holdings, LLC",TX,2024,54872.0,9992.0,60924.0,3636.0,0.16400761604622152
Access Energy Coop,IA,2024,16611.0,39588.7,422272.0,9067.0,0.09375165769930281
Adams Electric Cooperative Inc,PA,2024,40220.0,80024.0,574839.0,34534.0,0.13921115303589354
Adams-Columbia Electric Coop,WI,2024,108.0,80809.0,598848.0,39455.0,0.1349407529122582
Adjustment 2024,AK,2024,99999.0,186172.6,631603.0,36061.0,0.2947620578116317
Adjustment 2024,AL,2024,99999.0,180084.2,1430211.0,70697.0,0.12591442801097183
Adjustment 2024,AR,2024,99999.0,81098.2,701120.0,29311.0,0.1156695002282063
Adjustment 2024,AZ,2024,99999.0,95820.0,849297.0,37406.0,0.11282272279308651
Adjustment 2024,CA,2024,99999.0,263027.8,2010777.0,364189.0,0.13080903551214282
Adjustment 2024,CO,2024,99999.0,186167.4,1338226.0,52935.0,0.1391150672606869
Adjustment 2024,CT,2024,99999.0,26935.8,207138.0,17667.0,0.13003794571734786
Adjustment 2024,DC,2024,99999.0,52150.6,377617.0,4686.0,0.13810448152493135
Adjustment 2024,DE,2024,99999.0,59884.8,375493.0,17307.0,0.1594831328413579
Adjustment 2024,FL,2024,99999.0,105681.3,920808.0,26031.0,0.11477018010269242
Adjustment 2024,GA,2024,99999.0,465499.89999999997,3817536.0,163646.0,0.12193726529363443
Adjustment 2024,IA,2024,99999.0,605101.7,5579767.0,239289.0,0.10844569316245642
Adjustment 2024,ID,2024,99999.0,82516.1,975614.0,40182.0,0.08457863458293957
Adjustment 2024,IL,2024,99999.0,1225092.5,15288202.0,308089.0,0.08013319682720048
Adjustment 2024,IN,2024,99999.0,517525.6,4029221.0,179645.0,0.12844309110867833
Adjustment 2024,KS,2024,99999.0,562572.1,4154624.0,246778.0,0.1354086675472919
Adjustment 2024,KY,2024,99999.0,85221.6,819173.0,35988.0,0.10403370228266802
Adjustment 2024,LA,2024,99999.0,112749.2,1013525.0,44649.0,0.11124461656101231
Adjustment 2024,MA,2024,99999.0,340380.19999999995,1989178.0,120613.0,0.1711160087232012
Adjustment 2024,MD,2024,99999.0,131630.1,1568582.0,14234.0,0.08391662023407129
Adjustment 2024,ME,2024,99999.0,-3100.0,-78204.0,16256.0,0.03963991611682267
Adjustment 2024,MI,2024,99999.0,203664.0,1782795.0,96025.0,0.11423859725879869
Adjustment 2024,MN,2024,99999.0,758606.1,6245706.0,291476.0,0.12146042416982163
Adjustment 2024,MO,2024,99999.0,577669.8999999999,4730473.0,238048.0,0.12211673124442311
Adjustment 2024,MS,2024,99999.0,108565.6,823091.0,45478.0,0.13189987498344655
Adjustment 2024,MT,2024,99999.0,369591.9,4435054.0,94221.0,0.08333425027068442
Adjustment 2024,NC,2024,99999.0,410205.1,3342215.0,159770.0,0.12273450391432028
Adjustment 2024,ND,2024,99999.0,73963.8,673199.0,28068.0,0.10986914716153767
Adjustment 2024,NE,2024,99999.0,533876.7,4793868.0,199575.0,0.11136658331017875
Adjustment 2024,NH,2024,99999.0,31921.600000000002,210061.0,8700.0,0.15196347727564852
Adjustment 2024,NJ,2024,99999.0,43184.4,423531.0,32268.0,0.10196278430622552
Adjustment 2024,NM,2024,99999.0,117290.8,884863.0,54667.0,0.13255249682719247
Adjustment 2024,NV,2024,99999.0,8702.7,120800.0,1833.0,0.07204221854304636
Adjustment 2024,NY,2024,99999.0,178491.99999999997,2430970.0,127937.0,0.07342418869833851
Adjustment 2024,OH,2024,99999.0,882096.2000000001,9561855.0,302497.0,0.09225157670765767
Adjustment 2024,OK,2024,99999.0,273950.0,2479802.0,123708.0,0.11047252966164234
Adjustment 2024,OR,2024,99999.0,170039.5,1683916.0,74037.0,0.10097861175973148
Adjustment 2024,PA,2024,99999.0,408485.3,3778728.0,163773.0,0.10810127111557116
Adjustment 2024,RI,2024,99999.0,58182.8,367085.0,12472.0,0.15849953008158874
Adjustment 2024,SC,2024,99999.0,234608.89999999997,1597337.0,84693.0,0.14687501760743035
Adjustment 2024,SD,2024,99999.0,303007.2,2746868.0,100784.0,0.11031006950461399
Adjustment 2024,TX,2024,99999.0,718672.1,13977965.0,143319.0,0.05141464440639249
Adjustment 2024,UT,2024,99999.0,203961.5,1770861.0,109511.0,0.11517645936072905
Adjustment 2024,VA,2024,99999.0,201120.1,1519333.0,80297.0,0.13237394303947853
Adjustment 2024,VT,2024,99999.0,99929.5,526217.0,45721.0,0.18990169454806669
Adjustment 2024,WA,2024,99999.0,149741.3,1461199.0,70321.0,0.1024783756353515
Adjustment 2024,WI,2024,99999.0,426585.5,3237213.0,187354.0,0.13177554272764874
Adjustment 2024,WV,2024,99999.0,22987.7,154505.0,11725.0,0.14878288728520114
Adjustment 2024,WY,2024,99999.0,143539.7,1149800.0,51832.0,0.12483884153765873
Agralite Electric Coop,MN,2024,155.0,25348.0,242880.0,5397.0,0.1043642951251647
Agressive Energy LLC,IL,2024,63008.0,33232.4,491687.0,653.0,0.06758852684736429
Agressive Energy LLC,NJ,2024,63008.0,20937.5,178956.0,656.0,0.11699803303605355
Agressive Energy LLC,NY,2024,63008.0,174870.6,1323917.0,5375.0,0.13208577274859376
"Agway Energy Services, LLC",NY,2024,113.0,16196.6,123002.0,15654.0,0.13167753369863905
"Agway Energy Services, LLC",PA,2024,113.0,1067.9,9367.0,991.0,0.11400661898153092
Aiken Electric Coop Inc,SC,2024,162.0,134123.4,993900.0,52839.0,0.13494657410202232
Ajo Improvement Co,AZ,2024,176.0,1057.2,8711.0,1031.0,0.12136379290552175
Ak-Chin Electric Utility Authority,AZ,2024,25866.0,3915.6,41342.0,466.0,0.09471239901311015
Alabama Power Co,AL,2024,195.0,6638906.0,51899518.0,1546483.0,0.12791845195941898
Alameda Municipal Power,CA,2024,207.0,75541.7,355947.0,37226.0,0.21222738216644613
Alaska Electric Light & Power Co.,AK,2024,213.0,50026.8,426785.0,18005.0,0.1172178028749839
Alaska Power and Telephone Co,AK,2024,219.0,26275.0,78687.0,8456.0,0.3339179279931882
"Alaska Village Elec Coop, Inc",AK,2024,221.0,77021.0,125451.0,11518.0,0.6139528580880185
Albany Utility Board,GA,2024,230.0,80382.8,834357.0,33921.0,0.09634101469754554
