Utility_Name,State,Year,Utility_ID,Revenue_Thousands,Sales_MWh,Customers,Price_Per_kWh
3 Phases Renewables Inc,CA,2020,21093.0,29892.0,469457.0,1119.0,0.06367356328694641
3000 Energy Corp,TX,2020,49952.0,4627.5,37971.0,3124.0,0.12186932132416844
4-County Electric Power Assn,MS,2020,6641.0,113613.0,1017732.0,49215.0,0.1116335145205221
A & N Electric Coop,VA,2020,84.0,72290.0,672283.0,36141.0,0.1075291209208027
AEP Energy,DE,2020,55722.0,3550.9,60268.0,592.0,0.05891849737837659
AEP Energy,IL,2020,55722.0,352117.7,5360445.0,43329.0,0.06568814715942427
AEP Energy,MD,2020,55722.0,71612.1,1546195.0,4067.0,0.04631505081829912
AEP Energy,NJ,2020,55722.0,33726.6,479576.0,2172.0,0.07032587118621449
AEP Energy,OH,2020,55722.0,509173.1,11567739.0,287916.0,0.044016648370092025
AEP Energy,PA,2020,55722.0,190348.1,3385896.0,81373.0,0.05621794053922507
"ALLETE, Inc.",MN,2020,12647.0,634675.7,7889945.0,148332.0,0.08044108038775935
AP Holdings LLC,MD,2020,56571.0,3559.0,49047.0,707.0,0.07256305176667278
AP Holdings LLC,NJ,2020,56571.0,5793.0,61863.0,1396.0,0.09364240337520004
AP Holdings LLC,NY,2020,56571.0,3791.0,42925.0,1509.0,0.08831683168316831
AP Holdings LLC,OH,2020,56571.0,7223.0,105692.0,3934.0,0.0683400825038792
AP Holdings LLC,PA,2020,56571.0,23049.0,332813.0,11868.0,0.06925510722237413
AP Holdings LLC,TX,2020,56571.0,66599.0,1237100.0,35367.0,0.05383477487672783
ATG Clean Energy Holdings Inc.,TX,2020,62722.0,16708.1,336557.0,18568.0,0.04964419102856277
"Abest Power & Gas, LLC",NY,2020,59053.0,1848.0,22092.0,3202.0,0.08365019011406843
"Accent Energy Holdings, LLC",NY,2020,54872.0,3366.0,38776.0,5655.0,0.08680627192077574
"Accent Energy Holdings, LLC",TX,2020,54872.0,15739.0,124124.0,7312.0,0.1268006187361026
Access Energy Coop,IA,2020,16611.0,36281.7,420007.0,8935.0,0.08638356027399542
Adams Electric Cooperative Inc,PA,2020,40220.0,66164.0,548849.0,32951.0,0.12055046105577308
Adams-Columbia Electric Coop,WI,2020,108.0,70708.0,531662.0,37989.0,0.1329942707961073
Adjustment 2020,AK,2020,99999.0,155258.3,612483.0,35631.0,0.25348997441561644
Adjustment 2020,AL,2020,99999.0,153714.5,1371994.0,70418.0,0.11203729753920207
Adjustment 2020,AR,2020,99999.0,67459.9,640580.0,28615.0,0.10531065596802897
Adjustment 2020,AZ,2020,99999.0,72664.6,788317.0,34347.0,0.09217687808330913
Adjustment 2020,CA,2020,99999.0,52707.1,291322.0,300614.0,0.18092385744983214
Adjustment 2020,CO,2020,99999.0,171252.4,1203657.0,59454.0,0.14227674495308879
Adjustment 2020,CT,2020,99999.0,11325.2,46125.0,58900.0,0.2455327913279133
Adjustment 2020,DE,2020,99999.0,43890.200000000004,415511.0,16182.0,0.10562945385320727
Adjustment 2020,FL,2020,99999.0,132483.0,1149569.0,50178.0,0.11524580081752378
Adjustment 2020,GA,2020,99999.0,409655.2,3547045.0,150852.0,0.1154919658476281
Adjustment 2020,IA,2020,99999.0,554341.1,5324861.0,238018.0,0.10410433248867905
Adjustment 2020,ID,2020,99999.0,71770.70000000001,873392.0,38637.0,0.08217467070914322
Adjustment 2020,IL,2020,99999.0,998697.0,13916101.0,280145.0,0.07176557571693393
Adjustment 2020,IN,2020,99999.0,428329.30000000005,3838595.0,175368.0,0.11158491583509071
Adjustment 2020,KS,2020,99999.0,496862.7,3975988.0,242211.0,0.12496584496733894
Adjustment 2020,KY,2020,99999.0,63412.8,647252.0,30366.0,0.09797235079999753
Adjustment 2020,LA,2020,99999.0,96653.8,950997.0,45439.0,0.10163417970824304
Adjustment 2020,MA,2020,99999.0,427700.6,3335560.0,216168.0,0.12822452601662088
Adjustment 2020,ME,2020,99999.0,26531.5,270062.0,14180.0,0.09824225548207449
Adjustment 2020,MI,2020,99999.0,172794.5,1652825.0,93519.0,0.10454494577465855
Adjustment 2020,MN,2020,99999.0,757418.8,7061716.0,297372.0,0.10725704630432603
Adjustment 2020,MO,2020,99999.0,513928.5,4579493.0,230122.0,0.11222388591924914
Adjustment 2020,MS,2020,99999.0,97951.1,865620.0,45488.0,0.11315715903052148
Adjustment 2020,MT,2020,99999.0,205845.2,2513152.0,90675.0,0.08190718269328716
Adjustment 2020,NC,2020,99999.0,348204.2,3008537.0,149876.0,0.11573871286941129
Adjustment 2020,ND,2020,99999.0,68524.70000000001,638506.0,26721.0,0.10732036973810741
Adjustment 2020,NE,2020,99999.0,573029.0,5234179.0,222309.0,0.1094782964052242
Adjustment 2020,NH,2020,99999.0,25690.3,178514.0,10644.0,0.14391196208700718
Adjustment 2020,NJ,2020,99999.0,60448.3,742954.0,13785.0,0.08136210317193258
Adjustment 2020,NM,2020,99999.0,106111.0,755407.0,53103.0,0.14046864802682527
Adjustment 2020,NV,2020,99999.0,8612.4,124349.0,1792.0,0.06925990558830389
